proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Centos\Centos.NET5.vbproj,Centos\Interaction.vb,119,45,18,56,1,3,0,3,0,4661,4.66 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Centos\Centos.NET5.vbproj,Centos\Commands\ls.vb,31,0,7,24,1,8,0,3,0,945,945 B
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Centos\Centos.NET5.vbproj,Centos\Commands\netstat.vb,82,33,7,42,1,8,0,1,0,3648,3.65 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Centos\Centos.NET5.vbproj,Centos\SSH\PuTTY.vb,75,26,12,37,1,0,2,3,0,2999,3.00 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Centos\Centos.NET5.vbproj,Centos\SSH\SSH.vb,31,3,5,23,1,0,1,2,0,952,952 B
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Centos\Centos.NET5.vbproj,<project>,338,107,49,182,5,19,3,12,0,13205,13.21 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\Environment.vb,269,174,23,72,2,5,3,6,0,14188,14.19 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\PowerShell.vb,88,42,11,35,1,0,0,2,0,3185,3.19 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\ShellCommand.vb,30,6,4,20,1,0,1,2,0,1005,1005 B
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\Arguments\Image.vb,68,13,11,44,1,2,2,2,0,1955,1.96 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\Arguments\Mount.vb,61,19,12,30,2,5,2,2,0,1836,1.84 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\Captures\Models.vb,22,0,3,19,2,0,0,0,0,545,545 B
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\Captures\ParserHelpers.vb,25,0,5,20,1,0,0,1,0,852,852 B
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\test\Module1.vb,39,3,14,22,1,0,2,0,0,1177,1.18 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\test\My Project\Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\test\My Project\AssemblyInfo.vb,35,15,7,13,0,0,0,0,0,1143,1.14 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\test\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2769,2.77 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,Docker\test\My Project\Settings.Designer.vb,73,9,13,51,2,2,1,0,0,2954,2.95 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\Docker\Docker.NET5.vbproj,<project>,785,313,112,360,14,16,11,15,0,32043,32.04 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\Aspera.vb,110,45,13,52,1,2,1,5,0,3827,3.83 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\Extensions.vb,47,11,6,30,1,0,0,3,0,1583,1.58 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\FileSystem.vb,262,79,34,149,1,3,5,6,0,8744,8.74 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\Model\Bucket.vb,42,3,8,31,1,4,0,2,0,1128,1.13 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\Model\MetaData.vb,19,0,5,14,1,0,0,2,0,589,589 B
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\Model\Object.vb,42,3,7,32,1,5,0,1,0,1029,1.03 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\Model\TextParsers.vb,67,6,11,50,1,0,0,2,0,2982,2.98 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\My Project\Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\My Project\AssemblyInfo.vb,36,15,6,15,0,0,0,0,0,1274,1.27 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2787,2.79 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\My Project\Settings.Designer.vb,74,9,12,53,2,2,1,0,0,3018,3.02 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,ossutil\OSS\CLI.vb,63,27,8,28,1,0,2,2,0,2267,2.27 KB
G:\GCModeller\src\runtime\Darwinism\src\CloudKit\ossutil\ossutil.NET5.vbproj,<project>,837,230,119,488,11,18,9,23,0,29662,29.66 KB
G:\GCModeller\src\runtime\Darwinism\src\computing\batch\batch.vbproj,batch\Program.vb,108,10,15,83,3,0,1,6,0,3788,3.79 KB
G:\GCModeller\src\runtime\Darwinism\src\computing\batch\batch.vbproj,batch\Host\Argument.vb,41,0,8,33,1,6,2,3,0,1351,1.35 KB
G:\GCModeller\src\runtime\Darwinism\src\computing\batch\batch.vbproj,batch\Host\Host.vb,103,42,13,48,1,0,1,5,0,4010,4.01 KB
